MID,MERCHANT_DBA_NAME,MSO,SOURCE_CODE,WILAYAH,CHANNEL,TAHUN,BULAN
201171493,DAPUR VINA MBL,A32,,WMD,MBR,2019,6
201174414,ROSE SALON MBL,A32,,WMD,MBR,2019,6
201174422,ROSELLA FOODCOURT MBL,A32,,WMD,MBR,2019,6
201174448,SHE RESTO MBL,A32,,WMD,MBR,2019,6
201185659,KLINIK DR INDAH MBL,A32,,WMD,MBR,2019,6
201185923,SS COFFEE MBL,A32,,WMD,MBR,2019,6
201186277,NOMADS STORE MBL,A32,,WMD,MBR,2019,6
201186285,FOURSKIN CARE MBL,A32,,WMD,MBR,2019,6
201186293,WILLANO SALON MBL,A32,,WMD,MBR,2019,6
201186301,JULIO SALON MBL,A32,,WMD,MBR,2019,6
201186319,JJ SALON MBL,A32,,WMD,MBR,2019,6
201186699,KALANG ULU RESTO MBL,A32,,WMD,MBR,2019,6
202142725,KLINIK KECANTIKAN VYRMA M,B66,,WPD,MBR,2019,6
202145736,H-S MOBILE MBL.,B67,,WPD,MBR,2019,6
202146023,TOKO SANDANG BARU MBL,B66,,WPD,MBR,2019,6
202146171,GOLDEN KING FOODCOURT,B67,,WPD,MBR,2019,6
202146460,SRC AMALINA MBL,B04,,WPD,MBR,2019,6
202146528,WARUNG OSING MBL,B04,,WPD,MBR,2019,6
202146585,INDONESIAN CREATIVE SCHOO,B65,,WPD,MBR,2019,6
202146668,TOSERBA 3M MBL,B65,,WPD,MBR,2019,6
202146676,TOSERBA 3M 1 MBL,B65,,WPD,MBR,2019,6
202146684,TOSERBA 3M 2 MBL,B65,,WPD,MBR,2019,6
202146692,TOSERBA 3M 3 MBL,B65,,WPD,MBR,2019,6
202146700,BATIK HOUSE 3M MBL,B65,,WPD,MBR,2019,6
202146718,BATIK HOUSE 3M 1 MBL,B65,,WPD,MBR,2019,6
202146726,BATIK HOUSE 3M 2 MBL,B65,,WPD,MBR,2019,6
202146742,SAND TERRACE MBL,B04,,WPD,MBR,2019,6
202146767,BATAM HOKI MBL,B04,,WPD,MBR,2019,6
202146783,WEY WEY LIVE SEAFOOD,B04,,WPD,MBR,2019,6
202146791,DUTA ARLOJI MBL.,B04,,WPD,MBR,2019,6
202146809,AIKO SPOT MASSAGE MBL,B04,,WPD,MBR,2019,6
202146817,TENBO DISTRO MBL,B04,,WPD,MBR,2019,6
202146866,KAYLA FASHION MBL.,B64,,WPD,MBR,2019,6
202146874,SMALL TOWN BABY N KIDS,B66,,WPD,MBR,2019,6
202146882,DIVA MOM BABY N KIDS SH,B66,,WPD,MBR,2019,6
202146890,PUTRA UTAMA MBL.,B64,,WPD,MBR,2019,6
202146924,D TUMPENG MBL,B68,,WPD,MBR,2019,6
202146932,SENTRAL UTAMA MBL,B67,,WPD,MBR,2019,6
202146940,JAYA AGUNG BANGUNAN MBL,B67,,WPD,MBR,2019,6
202146957,AUWRA ACCESSORIES MBL,B67,,WPD,MBR,2019,6
202147013,TOKO CAHAYA INDAH MBL.,B68,,WPD,MBR,2019,6
202147021,TOKO MITRA CAHAYA SUKSES,B68,,WPD,MBR,2019,6
202147039,DRP MBL,B68,,WPD,MBR,2019,6
202147047,PRIMA SUMBER REZEKI MBL,B68,,WPD,MBR,2019,6
202147054,TOKO H&W BICYCLE,B68,,WPD,MBR,2019,6
202147062,TB HARAPAN WIJAYA INDAH M,B68,,WPD,MBR,2019,6
202147070,UD NILAM AA MBL,B60,,WPD,MBR,2019,6
202147096,MITRA BARU MBL.,B67,,WPD,MBR,2019,6
202147104,HAPPY KITCHEN MBL,B67,,WPD,MBR,2019,6
202147112,RIA DENTAL CARE MBL.,B67,,WPD,MBR,2019,6
202147153,TOKO ZAMZAM MBL,B65,,WPD,MBR,2019,6
202147187,UCHI BOUTIQUE 2 MBL,B65,,WPD,MBR,2019,6
202147211,TOKO PERMATA SEPEDA MBL,B62,,WPD,MBR,2019,6
202147229,RINAI COMPUTER MBL,B65,,WPD,MBR,2019,6
202147237,GHIFARI COLLECTION BABY &,B65,,WPD,MBR,2019,6
202147245,ABAK JAYA MBL,B62,,WPD,MBR,2019,6
202147294,LIA OLSHOP PDG MBL,B66,,WPD,MBR,2019,6
202147302,360 WARUNG MAKAN MBL,B66,,WPD,MBR,2019,6
202147310,168 AUTOMOTIVE PART MBL,B66,,WPD,MBR,2019,6
202147328,SUBUR KERAMIK MBL.,B66,,WPD,MBR,2019,6
202147385,HALLO CELL MBL.,B65,,WPD,MBR,2019,6
202147393,HL PONSEL MBL.,B64,,WPD,MBR,2019,6
202147401,CHINS DEKOR MBL.,B64,,WPD,MBR,2019,6
202147419,TOKO ANUGERAH SEJATI MBL,B64,,WPD,MBR,2019,6
202147427,ANNISA COSMETICS MBL.,B63,,WPD,MBR,2019,6
202147450,PUJASERA PUNCAK LAWANG,B60,,WPD,MBR,2019,6
202147492,MASTER WARNA MBL.,B62,,WPD,MBR,2019,6
202147500,NITIAS HIJAB BOUTIQUE MBL,B64,,WPD,MBR,2019,6
202147518,KEDAI KOPI KARKOON MBL,B65,,WPD,MBR,2019,6
202147526,KOFFIE 29 MBL.,863,,WPD,MBR,2019,6
202147559,INDAH PANAM MBL,B64,,WPD,MBR,2019,6
202147567,RUMAH KUCING ABANG TAN MB,B64,,WPD,MBR,2019,6
202147575,PRAKTEK DOKTER GIGI DRG.,B65,,WPD,MBR,2019,6
