MID|MERCHANT_DBA_NAME|MSO|SOURCE_CODE|WILAYAH|CHANNEL|TAHUN|BULAN
201045697|SAINS COFFEE MBL         |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201045705|NP STORES MBL            |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201045713|OPTIK PRATAMA JAYA MBL   |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201045937|BEE BEAUTY MBL           |A32|B1X2MA007040265AK1|WMD|SUPPORT|2019|2
201046273|OKE DRAGON COMPUTER MBL  |A32|B1X2MA327037265PG1|WMD|SUPPORT|2019|1
201046299|WARKOP MEDAN KALEE MBL   |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201046331|ROOSTER KOFFIE MBL       |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201046810|MANZA MBL                |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201046844|FAJAR COMPUTER MBL       |A32|B1X2MA327037265PG1|WMD|SUPPORT|2019|1
201046901|TOKO MAS RAHMAT AP PULUNG|A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201047255|SALHA COM MBL            |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201047503|TRABAS ADVENTURE CAFE MBL|A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201047701|PRIMA COM MBL            |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201047719|TUPPERWARE UD BIMAS TAR M|A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201047776|ELEVEN FAMILY KARAOKE MBL|A32|B1X2MA327037265PG1|WMD|SUPPORT|2019|1
201047800|KANTIN BUK LINA MBL      |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201048022|LAKSAMANA TAILOR MADE MBL|A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|1
201048360|KLIK OKE DRAGON MBL      |A32|                  |WMD|SUPPORT|2019|2
201048501|TOKO MELIALA MBL         |A32|B1X2MA327037265PG1|WMD|SUPPORT|2019|2
201048733|ALFAMART W512 BUDI UTOMO |A01|P1Y1RR003984081MR2|WMD|SUPPORT|2019|1
201048741|ALFAMART W515 AEK LOBA AS|A01|P1Y1RR003984081MR2|WMD|SUPPORT|2019|1
201048758|ALFAMART W514 PULAU RAKYA|A01|P1Y1RR003984081MR2|WMD|SUPPORT|2019|1
201048766|ALFAMART W513 PROTOKOL AI|A01|P1Y1RR003984081MR2|WMD|SUPPORT|2019|1
201048774|ALFAMART W517 T. NYAK ARI|A01|P1Y1RR003984081MR2|WMD|SUPPORT|2019|1
201048782|ALFAMART W519 T. KREUNG M|A01|P1Y1RR003984081MR2|WMD|SUPPORT|2019|1
201048790|ALFAMART W499 MATANG SEUL|A01|P1Y1RR003984081MR2|WMD|SUPPORT|2019|1
201049046|ALFAMART W516 AEK LEDONG |   |P1Y1RR003984081MR2|WMD|SUPPORT|2019|1
201049053|ALFAMART W521 SIMPANG KAN|   |P1Y1RR003984081MR2|WMD|SUPPORT|2019|1
201049061|ALFAMART 1VB2 HADIMULYO  |   |P1Y1RR003984081MR2|WMD|SUPPORT|2019|1
201049079|ALFAMART W518 BUKIT RATA |   |P1Y1RR003984081MR2|WMD|SUPPORT|2019|1
201049087|ALFAMART W520 HASAN DEK  |   |P1Y1RR003984081MR2|WMD|SUPPORT|2019|1
201049301|BROW Z MBL               |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|2
201049483|K3 - KEDAI KAWAN KITA MBL|A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|2
201049947|RM KHAS BATAK HORAS MBL  |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|2
201050085|ONCEZ SHOP MBL           |A32|                  |WMD|SUPPORT|2019|2
201050317|SOTO NANDA MBL           |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|2
201050408|TOKO TABAH MBL           |A32|B1X2MA007007006AK1|WMD|SUPPORT|2019|2
201050606|TOKO MEGAH JAYA MBL      |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|2
201051281|KLINIK DR GEETA MBL      |A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|2
201051414|TOKO BERKAT COLLECTION MB|A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|4
201051539|JANDWEE STUDIO MBL       |A32|                  |WMD|SUPPORT|2019|2
201051547|TUPPERWARE GALERI ARISTON|A32|B1X2MA327037193PG1|WMD|SUPPORT|2019|2
201052040|J & K POMADE STORE MBL   |A32|B1X2MA327037265PG1|WMD|SUPPORT|2019|2
201052115|CALLA FACE AND DENTAL MBL|A32|B1X2MA327037006PG1|WMD|SUPPORT|2019|2
201052123|MILALA SERVICE STATION & |A32|                  |WMD|SUPPORT|2019|2
201052248|WARINGIN SEAFOOD MBL     |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|3
201052255|A PREMIUM BARBERSHOP MBL |A32|                  |WMD|SUPPORT|2019|3
201053816|GRAHA INSAN SURYA 2 MBL  |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|3
201053824|BLESS CELLULAR MBL       |A32|                  |WMD|SUPPORT|2019|3
